post_url,post_text
https://www.linkedin.com/feed/update/urn:li:activity:7078590132068511744,[NO TEXT FOUND]
https://www.linkedin.com/feed/update/urn:li:activity:7256489116484149248,"Billionaire CEO Sridhar Vembu of Zoho Corporation is making sustainable commuting choices with his vehicle selection. He owns a Tata Nexon EV for longer city commutes and uses 2 Montra electric autorickshaws for journeys under 10 km. 

The Tata Nexon EV, India's best-selling electric vehicle from Tata Motors, boasts a 30.2kWh lithium-ion battery, offering a driving range of 312 km. On the other hand, the Montra electric auto, recognized with the International Red Dot Design Award, runs on a 10 kW lithium-ion battery with a range of 203 km.

By opting for electric vehicles like the Nexon EV and Montra e-autos, Sridhar Vembu is setting a practical and environmentally friendly example for sustainable transportation solutions. 
hashtag
#ElectricVehicles 
hashtag
#Sustainability 
hashtag
#Innovation"
https://www.linkedin.com/feed/update/urn:li:activity:7315037511687311361,"Read Full Article About Tata Nexon EV Dark Edition
https://lnkd.in/eCugirJK
hashtag
#tatamotors 
hashtag
#tata 
hashtag
#tatanexon"
https://www.linkedin.com/feed/update/urn:li:activity:7332751034760544256,[NO TEXT FOUND]
https://www.linkedin.com/feed/update/urn:li:activity:7333370240443006977,[NO TEXT FOUND]
https://www.linkedin.com/feed/update/urn:li:activity:7339367349394829312,"Here's my origin story...

Boiling Springs High School
Lehigh University
Army, Infantry Officer
Chewy, Area Manager
Amazon, Area Manager
Penn State University
Harrisburg Bookkeeping, Founder ➡️ This is my 'day job'
Route 20 Trucking Company, Founder ❌ Failure
Private Money Lending
ZIP Capital, Founder ➡️ Growing Quickly!

Curious, where did you come from?"
https://www.linkedin.com/feed/update/urn:li:activity:7372875304090062848,"हर बेटी के लिए मेरी एक बात... 

 By Nand Kishor – Ex-Army (AOC), Professional Armed Security Officer
दिल्ली में हाल ही में एक बेटी ने Mahindra Thar शोरूम से गलती से गाड़ी गिरा दी। 
लोगों ने तुरंत गलती लड़की पर डाल दी,
लेकिन क्या किसी ने सोचा कि ये हादसा किसी के साथ भी हो सकता है?
ये एक दुर्घटना है, कोई अपराध नहीं!
 मेरी कहानी:
 बचपन से Maruti 800, Omni Van, Hyundai Eon Era जैसी साधारण गाड़ियाँ चलाईं।
 इस Ram Navami पर मेरी बेटी ने Tata Nexon Creative DCA 1.2 (360° View, Automatic) खरीदी।
 अभी मैं ही गाड़ी चलाता हूँ और बेटी को हर फीचर सावधानी से सिखाता हूँ।
क्योंकि आज की गाड़ियाँ ज़्यादा पावरफुल और एडवांस टेक्नोलॉजी से लैस हैं।
 सलाह युवा पीढ़ी, खासकर बेटियों को:
 नई कार लेने के बाद कम से कम 1 हफ्ता प्रैक्टिस करें।
 शोरूम स्टाफ को हर कस्टमर को प्रोफेशनल ट्रेनिंग देनी चाहिए।
 पहले खाली जगह में ड्राइव सीखें, फिर ट्रैफिक में जाएं।
 हर कंट्रोल, हर फीचर को समझें – चाहे गाड़ी ऑटोमैटिक हो या मैनुअल।
 हमेशा सेफ्टी बेल्ट और ड्राइविंग रूल्स को प्राथमिकता दें।
 निष्कर्ष:
टेक्नोलॉजी एडवांस हो गई है, पर सावधानी और धैर्य सबसे बड़ा सेफ्टी फीचर हैं।
Accidents किसी के साथ भी हो सकते हैं।
Blame करने की बजाय सपोर्ट करना सीखें।
हर बेटी को आत्मविश्वास और सुरक्षा देना हम सबकी जिम्मेदारी है।
 Nand Kishor
 Ex-Army Havildar (Clerk/GD, AOC)
 Professional Security Officer | PSO Services, Delhi
 Proud Father | Advocate of Women’s Safety
 Suggested Hashtags:
hashtag
#WomenSafety
 
hashtag
#DriveWithCare
 
hashtag
#CarDrivingTips
 
hashtag
#DelhiNews
 
hashtag
#MahindraThar
 
hashtag
#TataNexon
 
hashtag
#NewCarExperience
 
hashtag
#WomenEmpowerment
 
hashtag
#SafeDriving
 hashtag
#SupportNotBlame 
hashtag
#ExArmyLife 
hashtag
#FatherDaughterGoals 
hashtag
#NandKishorPSO 
hashtag
#GunmanNandKishor"
https://www.linkedin.com/feed/update/urn:li:activity:7380073733425750016,"Drove ~300 KM in my Tata Nexon (D) last week and touched an amazing 30 km/l mileage. 🚗✨

This is one of the reason why Nexon is India’s bestselling SUV - Safest, efficient, dependable, and truly made for our roads by Tata Motors 

With ~9 lakh units already sold, it’s fast approaching the million mark. A historic moment for Tata Motors Cars 

Proud to drive a car that consistently exceeds expectations. ❤️

What makes it even more special for me - I was part of the core team that built the Nexon engine around 2017-18 

hashtag
#TataNexon 
hashtag
#SUV 
hashtag
#Mileage 
hashtag
#TataMotors"
https://www.linkedin.com/feed/update/urn:li:activity:7381558964699906050,"Tata Motors Tata Nexon EV MH : This is regarding Nexon EV - MH02GJ4247 . We have already complained for charging issues. The car stopped getting charged just after 4 months of delivery. So we complained and the car charging started working fine . Again the same issue is occurring, car is not getting charged . Just after 2 months of car coming back from service centre . I don’t understand why so many charging issues in first 6 months of car delivery? Is this some manufacturing issue ?

hashtag
#nexon 
hashtag
#tatamotors"
https://www.linkedin.com/feed/update/urn:li:activity:7384269872458969088,[NO TEXT FOUND]
https://www.linkedin.com/feed/update/urn:li:activity:7389551131317874689,"Hi All,

I am very much tied up with tata Nexon car, very bad performance. It’s only good for safety not for drive and service from tata. From last more than 20days, my car with tata service center, and still, they cannot figure out the problem. And I don’t have any idea about how many days they will take to resolve the problem. It’s showing there very bad service behavior. I will not recommend any one to take any car from tata, other wise you will also suffer like me."
https://www.linkedin.com/feed/update/urn:li:activity:7396452907916845056,[NO TEXT FOUND]
https://www.linkedin.com/feed/update/urn:li:activity:7398628870003970048,[NO TEXT FOUND]
https://www.linkedin.com/feed/update/urn:li:activity:7399031459438825474,[NO TEXT FOUND]
https://www.linkedin.com/feed/update/urn:li:activity:7399897001322119168,[NO TEXT FOUND]
https://www.linkedin.com/feed/update/urn:li:activity:7402038748307202048,"📌 Finance & Consulting Insight | How Tata Motors Nexon Won India’s Market

Tata Nexon isn’t just a popular SUV. It’s a smart business strategy on wheels.
In a market filled with strong rivals, Nexon didn’t try to be the cheapest it focused on what really matters to Indian buyers.

🔍 What Tata Did Right:
• Made 5-star safety the hero feature → families trust it more
• Added premium features, but kept pricing friendly → value for money
• Offered Petrol, Diesel & EV options → something for every customer
• Used Tata’s trust + Make in India pride → emotional connection

📊 Business & Finance Wins:
• More sales = lower cost per car → better profits
• Different variants mean customers happily spend more → higher revenue
• Nexon EV gave Tata a head-start in the EV space
• Faster selling cars → cash comes back quickly, less money stuck in inventory

✅ Strategic Takeaway:
Nexon shows that when a company understands what people care about safety, price, and trust success follows naturally.
Smart product decisions + emotional branding = long-term leadership.

More simple and real business lessons coming soon one strategy at a time 🚀

hashtag
#FinanceAndConsultingInsight 
hashtag
#TataNexon 
hashtag
#BusinessStrategy 
hashtag
#EVIndia 
hashtag
#BrandSuccess
Tata Group"
https://www.linkedin.com/feed/update/urn:li:activity:7403345597749207041,"Tata Motors Tata Group @tata
**Extremely Frustrated and Disappointed with Tata Motors – Want Refund or Replacement**

I never expected to be writing something like this, but my experience with **Tata Motors** has been nothing short of shocking.

I bought a brand-new **Tata Nexon Creative+ PS Dark Edition Petrol DCT** just **1.5 months ago**. A brand-new car should give peace of mind — instead, mine **refused to start right after the first service**.

And now the service centre tells me the **entire engine needs to be replaced**.
A full engine change in a month-old car? This is unbelievable and completely unacceptable.

What’s even more frustrating is that I emailed **Tata Motors North customer care**, and it’s been **over a week with ZERO response**. For a company of this scale, not even acknowledging a customer’s serious complaint is extremely disappointing.

I did not spend my hard-earned money on a brand-new car to deal with such major issues so soon. I’m not willing to accept an engine replacement on a car this new. I am demanding a **refund or a complete vehicle replacement**. This is clearly a manufacturing defect and I expect Tata Motors to take responsibility.

I genuinely believed in this brand, but this experience has completely shattered my trust. I hope Tata Motors steps up and resolves this urgently — because no customer deserves this."
